Latitude,Longitude,County,State
32.38012,-86.300629,,
58.29974,-134.406794,,
33.44826,-112.075774,,
34.748655,-92.274494,,
38.579065,-121.491014,,
39.74001,-104.992259,,
41.763325,-72.674069,,
39.158035,-75.524734,,
30.439775,-84.280649,,
33.748315,-84.391109,,
21.30477,-157.857614,,
43.60698,-116.193409,,
39.801055,-89.643604,,
39.76691,-86.149964,,
41.58979,-93.615659,,
39.049285,-95.671184,,
38.19507,-84.878694,,
30.443345,-91.186994,,
44.318036,-69.776218,,
38.9767,-76.489934,,
42.358635,-71.056699,,
42.73194,-84.552249,,
44.943829,-93.093326,,
32.29869,-90.180489,,
38.577515,-92.177839,,
32.38012,-86.300629,,
58.29974,-134.406794,,
33.44826,-112.075774,,
34.748655,-92.274494,,
38.579065,-121.491014,,
39.74001,-104.992259,,
41.763325,-72.674069,,
39.158035,-75.524734,,
30.439775,-84.280649,,
33.748315,-84.391109,,
21.30477,-157.857614,,
43.60698,-116.193409,,
39.801055,-89.643604,,
39.76691,-86.149964,,
41.58979,-93.615659,,
39.049285,-95.671184,,
38.19507,-84.878694,,
30.443345,-91.186994,,
44.318036,-69.776218,,
38.9767,-76.489934,,
42.358635,-71.056699,,
42.73194,-84.552249,,
44.943829,-93.093326,,
32.29869,-90.180489,,
38.577515,-92.177839,,
32.38012,-86.300629,,
58.29974,-134.406794,,
33.44826,-112.075774,,
34.748655,-92.274494,,
38.579065,-121.491014,,
39.74001,-104.992259,,
41.763325,-72.674069,,
39.158035,-75.524734,,
30.439775,-84.280649,,
33.748315,-84.391109,,
21.30477,-157.857614,,
43.60698,-116.193409,,
39.801055,-89.643604,,
39.76691,-86.149964,,
41.58979,-93.615659,,
39.049285,-95.671184,,
38.19507,-84.878694,,
30.443345,-91.186994,,
44.318036,-69.776218,,
38.9767,-76.489934,,
42.358635,-71.056699,,
42.73194,-84.552249,,
44.943829,-93.093326,,
32.29869,-90.180489,,
38.577515,-92.177839,,
